#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:59:03       1    214     54      -     21      3      0      0      0      0  13801   2895      0      0 
 20260602    17:59:03       2    244     67      -     62     19      0      0      0      0  13801   2887      0      0 
 20260602    17:59:03       3    256     71      -     63     24      0      0      0      0  13801   2955      0      0 
 20260602    17:59:04       0    254     74      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:59:04       1    222     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:04       2    252     68      -     44     12      0      0      0      0  13801   2887      0      0 
 20260602    17:59:04       3    252     71      -     63     24      0      0      0      0  13801   2955      0      0 
 20260602    17:59:05       0    244     74      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:59:05       1    222     57      -     62     16      0      0      0      0  13801   2895      0      0 
 20260602    17:59:05       2    245     68      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:05       3    249     70      -     59     22      0      0      0      0  13801   2940      0      0 
 20260602    17:59:06       0    260     72      -     29      6      0      0      0      0  13801   2850      0      0 
 20260602    17:59:06       1    233     56      -     62     16      0      0      0      0  13801   2895      0      0 
 20260602    17:59:06       2    247     67      -     64     21      0      0      0      0  13801   2887      0      0 
 20260602    17:59:06       3    265     72      -     68     27      0      0      0      0  13801   2955      0      0 
 20260602    17:59:07       0    246     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:59:07       1    225     57      -     68     19      0      0      0      0  13801   2895      0      0 
 20260602    17:59:07       2    259     68      -     61     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:07       3    258     71      -     65     26      0      0      0      0  13801   2955      0      0 
 20260602    17:59:08       0    238     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:59:08       1    220     55      -     14      1      0      0      0      0  13801   2895      0      0 
 20260602    17:59:08       2    239     68      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:08       3    255     71      -     65     25      0      0      0      0  13801   2947      0      0 
 20260602    17:59:09       0    252     74      -     68     22      0      0      0      0  13801   2850      0      0 
 20260602    17:59:09       1    230     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:09       2    247     65      -     17      1      0      0      0      0  13801   2887      0      0 
 20260602    17:59:09       3    260     70      -     33      9      0      0      0      0  13801   2940      0      0 
 20260602    17:59:10       0    244     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:59:10       1    219     57      -     59     16      0      0      0      0  13801   2895      0      0 
 20260602    17:59:10       2    258     67      -     68     22      0      0      0      0  13801   2887      0      0 
 20260602    17:59:10       3    258     72      -     67     25      0      0      0      0  13801   2955      0      0 
